Model,Training Time (s),MSE,RMSE,MAE,MAPE,R² Score
Random Forest,110.99615120887756,192537245.51221514,13875.779095683785,3097.374054594029,0.02621373647850735,0.9980390979469657
Bagging Regressor,11.019892930984497,211414333.28529975,14540.093991625356,3192.5610194068845,0.027135757310831617,0.9978468436115976
Decision Tree,1.5801112651824951,261914528.9521445,16183.77363139217,3422.9971148049262,0.029584201997254738,0.9973325226702218
Extra Trees Regressor,72.42175149917603,329593988.0299916,18154.723573494353,3491.2656409439323,0.02917422457329427,0.9966432389428008
XGB Regressor,0.6958334445953369,2043769478.1833723,45208.06872874987,13896.975559329174,0.1702980642501288,0.979185163974762
Hist Gradient Boosting,1.5796468257904053,2391228603.044364,48900.19021480759,18875.511678716703,0.24713478688761717,0.9756464518617687
